Name,2020 Population,code,region_code,province_code,municipality_code,barangay_code
Lydia ,2264,9.0,10,102,10,9.0
Mabuti,1121,0.0,10,102,10,0.0
Valdez,1083,1.0,10,102,10,1.0
Tabucbuc,1692,2.0,10,102,10,2.0
Santiago,1510,3.0,10,102,10,3.0
Cacafean,408,4.0,10,102,10,4.0
Acnam,767,1.0,10,102,10,1.0
Barangobong,443,2.0,10,102,10,2.0
Barikir,681,3.0,10,102,10,3.0
Bugayong,940,4.0,10,102,10,4.0
Cabittauran,1075,5.0,10,102,10,5.0
Caray,824,6.0,10,102,10,6.0
Garnaden,711,7.0,10,102,10,7.0
Naguillan,1043,8.0,10,102,10,8.0
Poblacion,3206,9.0,10,102,10,9.0
Santo Niño,1184,0.0,10,102,10,0.0
Uguis,1094,1.0,10,102,10,1.0
Aggasi,725,1.0,10,102,10,1.0
Baduang,1131,3.0,10,102,10,3.0
Balaoi,1980,4.0,10,102,10,4.0
Burayoc,1461,5.0,10,102,10,5.0
Caunayan,1529,6.0,10,102,10,6.0
Dampig,1025,7.0,10,102,10,7.0
Ligaya,1057,8.0,10,102,10,8.0
Pancian,2398,0.0,10,102,10,0.0
Pasaleng,1793,1.0,10,102,10,1.0
Poblacion 1,2669,2.0,10,102,10,2.0
Poblacion 2,3258,3.0,10,102,10,3.0
Saguigui,903,4.0,10,102,10,4.0
Saud,1467,5.0,10,102,10,5.0
Subec,1832,6.0,10,102,10,6.0
Tarrag,940,7.0,10,102,10,7.0
Caparispisan,930,8.0,10,102,10,8.0
Bacsil,703,1.0,10,102,10,1.0
Cabagoan,453,2.0,10,102,10,2.0
Cabangaran,375,3.0,10,102,10,3.0
Callaguip,2019,4.0,10,102,10,4.0
Cayubog,590,5.0,10,102,10,5.0
Dolores,419,6.0,10,102,10,6.0
Laoa,355,7.0,10,102,10,7.0
Masintoc,654,8.0,10,102,10,8.0
Monte,737,9.0,10,102,10,9.0
Mumulaan,873,0.0,10,102,10,0.0
Nagbacalan,3194,1.0,10,102,10,1.0
Nalasin,1378,2.0,10,102,10,2.0
Nanguyudan,602,3.0,10,102,10,3.0
Oaig-Upay-Abulao,744,4.0,10,102,10,4.0
Pambaran,189,5.0,10,102,10,5.0
Pannaratan ,241,6.0,10,102,10,6.0
Paratong,1115,7.0,10,102,10,7.0
Pasil,1039,8.0,10,102,10,8.0
Salbang ,714,9.0,10,102,10,9.0
San Agustin,1029,0.0,10,102,10,0.0
San Blas ,234,1.0,10,102,10,1.0
San Juan,222,2.0,10,102,10,2.0
San Pedro,592,5.0,10,102,10,5.0
San Roque ,1101,8.0,10,102,10,8.0
Sangladan Pob.,383,9.0,10,102,10,9.0
Santa Rita ,838,0.0,10,102,10,0.0
Sideg,459,1.0,10,102,10,1.0
Suba,1512,2.0,10,102,10,2.0
Sungadan,1181,3.0,10,102,10,3.0
Surgui,805,4.0,10,102,10,4.0
Veronica,251,5.0,10,102,10,5.0
Batuli,452,1.0,10,102,10,1.0
Binsang,972,2.0,10,102,10,2.0
Nalvo,591,3.0,10,102,10,3.0
Caruan,1429,4.0,10,102,10,4.0
Carusikis,819,5.0,10,102,10,5.0
Carusipan,459,6.0,10,102,10,6.0
Dadaeman,322,7.0,10,102,10,7.0
Darupidip,287,8.0,10,102,10,8.0
Davila,3989,9.0,10,102,10,9.0
Dilanis,452,0.0,10,102,10,0.0
Dilavo,641,1.0,10,102,10,1.0
Estancia,1117,2.0,10,102,10,2.0
Naglicuan,1750,4.0,10,102,10,4.0
Nagsanga,1335,5.0,10,102,10,5.0
Ngabangab,693,6.0,10,102,10,6.0
Pangil,392,7.0,10,102,10,7.0
Poblacion 1,1051,8.0,10,102,10,8.0
Poblacion 2,1821,9.0,10,102,10,9.0
Poblacion 3,934,0.0,10,102,10,0.0
Poblacion 4,1471,1.0,10,102,10,1.0
Pragata,606,2.0,10,102,10,2.0
Puyupuyan,871,3.0,10,102,10,3.0
Sulongan,492,4.0,10,102,10,4.0
Salpad,665,5.0,10,102,10,5.0
San Juan,1605,6.0,10,102,10,6.0
Santa Catalina,847,7.0,10,102,10,7.0
Santa Matilde,421,8.0,10,102,10,8.0
Sapat,69,9.0,10,102,10,9.0
Sulbec,916,0.0,10,102,10,0.0
Surong,340,1.0,10,102,10,1.0
Susugaen,1319,2.0,10,102,10,2.0
Tabungao,161,3.0,10,102,10,3.0
Tadao,389,4.0,10,102,10,4.0
