population,name,code,region_code,province_code,municipality_code
453,Cabagoan,2,10,102,10
375,Cabangaran,3,10,102,10
2019,Callaguip,4,10,102,10
590,Cayubog,5,10,102,10
419,Dolores,6,10,102,10
355,Laoa,7,10,102,10
654,Masintoc,8,10,102,10
737,Monte,9,10,102,10
873,Mumulaan,10,10,102,10
3194,Nagbacalan,11,10,102,10
1378,Nalasin,12,10,102,10
602,Nanguyudan,13,10,102,10
744,Oaig-Upay-Abulao,14,10,102,10
189,Pambaran,15,10,102,10
241,Pannaratan ,16,10,102,10
1115,Paratong,17,10,102,10
1039,Pasil,18,10,102,10
714,Salbang ,19,10,102,10
1029,San Agustin,20,10,102,10
234,San Blas ,21,10,102,10
222,San Juan,22,10,102,10
592,San Pedro,25,10,102,10
1101,San Roque ,28,10,102,10
383,Sangladan Pob.,29,10,102,10
838,Santa Rita ,30,10,102,10
459,Sideg,31,10,102,10
1512,Suba,32,10,102,10
1181,Sungadan,33,10,102,10
805,Surgui,34,10,102,10
251,Veronica,35,10,102,10
452,Batuli,1,10,102,10
972,Binsang,2,10,102,10
591,Nalvo,3,10,102,10
1429,Caruan,4,10,102,10
819,Carusikis,5,10,102,10
459,Carusipan,6,10,102,10
322,Dadaeman,7,10,102,10
287,Darupidip,8,10,102,10
3989,Davila,9,10,102,10
452,Dilanis,10,10,102,10
641,Dilavo,11,10,102,10
1117,Estancia,12,10,102,10
1750,Naglicuan,14,10,102,10
1335,Nagsanga,15,10,102,10
693,Ngabangab,16,10,102,10
392,Pangil,17,10,102,10
1051,Poblacion 1,18,10,102,10
1821,Poblacion 2,19,10,102,10
934,Poblacion 3,20,10,102,10
1471,Poblacion 4,21,10,102,10
606,Pragata,22,10,102,10
871,Puyupuyan,23,10,102,10
492,Sulongan,24,10,102,10
665,Salpad,25,10,102,10
1605,San Juan,26,10,102,10
847,Santa Catalina,27,10,102,10
421,Santa Matilde,28,10,102,10
69,Sapat,29,10,102,10
916,Sulbec,30,10,102,10
340,Surong,31,10,102,10
1319,Susugaen,32,10,102,10
161,Tabungao,33,10,102,10
389,Tadao,34,10,102,10
462,Ab-abut,1,10,102,10
1635,Abucay,2,10,102,10
1234,Anao ,3,10,102,10
382,Arua-ay,4,10,102,10
307,Bimmanga,5,10,102,10
1665,Boyboy,6,10,102,10
960,Cabaroan ,7,10,102,10
1331,Calambeg,8,10,102,10
682,Callusa,9,10,102,10
765,Dupitac,10,10,102,10
1825,Estancia,11,10,102,10
644,Gayamat,12,10,102,10
657,Lagandit,13,10,102,10
688,Libnaoan,14,10,102,10
1575,Loing ,15,10,102,10
497,Maab-abaca,16,10,102,10
671,Mangitayag,17,10,102,10
907,Maruaya,18,10,102,10
706,San Antonio,19,10,102,10
1510,Santa Maria,20,10,102,10
689,Sucsuquen,21,10,102,10
1119,Tangaoan,22,10,102,10
1564,Tonoton,23,10,102,10
653,Aglipay,1,10,102,10
391,Apatut-Lubong,2,10,102,10
1398,Badio,3,10,102,10
738,Barbar,4,10,102,10
457,Buanga,5,10,102,10
509,Bulbulala,6,10,102,10
391,Bungro,7,10,102,10
509,Cabaroan,8,10,102,10
760,Capangdanan,9,10,102,10
621,Dalayap,10,10,102,10
1081,Darat,11,10,102,10
384,Gulpeng,12,10,102,10
546,Liliputen,13,10,102,10
751,Lumbaan-Bicbica,14,10,102,10
748,Nagtrigoan,15,10,102,10
1142,Pagdilao ,16,10,102,10
608,Pugaoan,17,10,102,10
574,Puritac,18,10,102,10
1243,Sacritan,19,10,102,10
488,Salanap,20,10,102,10
722,Santo Tomas,21,10,102,10
1001,Tartarabang,22,10,102,10
256,Puzol,23,10,102,10
586,Upon,24,10,102,10
1069,Valbuena ,25,10,102,10
1783,San Francisco ,1,10,102,10
1743,San Ildefonso ,2,10,102,10
2475,San Agustin,3,10,102,10
804,San Baltazar ,4,10,102,10
834,San Bartolome ,5,10,102,10
