name,population,code,region_code,province_code,city_code
Bagani Camposanto,2156,005,01,029,06
Bagani Gabor,538,006,01,029,06
Bagani Tocgo,559,007,01,029,06
Bagani Ubbog,1708,008,01,029,06
Bagar,1260,009,01,029,06
Balingaoan,1667,010,01,029,06
Bugnay,759,015,01,029,06
Calaoaan,2608,016,01,029,06
Calongbuyan,2889,017,01,029,06
Caterman,2652,018,01,029,06
Cubcubboot,463,019,01,029,06
Darapidap,3327,020,01,029,06
Langlangca Primero,635,022,01,029,06
Langlangca Segundo,1226,023,01,029,06
Oaig-Daya,2041,024,01,029,06
Palacapac,819,025,01,029,06
Paras,1471,026,01,029,06
Parioc Primero,1383,027,01,029,06
Parioc Segundo,1696,028,01,029,06
Patpata Primero,1200,029,01,029,06
Patpata Segundo,1755,030,01,029,06
Paypayad,2386,031,01,029,06
Salvador Primero,956,032,01,029,06
Salvador Segundo,799,033,01,029,06
San Agustin,1875,034,01,029,06
San Andres,662,035,01,029,06
San Antonio ,1006,036,01,029,06
San Isidro ,1833,037,01,029,06
San Jose ,1811,038,01,029,06
San Juan ,731,039,01,029,06
San Nicolas,2690,040,01,029,06
San Pedro,717,041,01,029,06
Santo Tomas,635,042,01,029,06
Tablac,3562,043,01,029,06
Talogtog,1992,044,01,029,06
Tamurong Primero,1392,045,01,029,06
Tamurong Segundo,900,046,01,029,06
Villarica,492,048,01,029,06
Anonang Mayor,958,001,01,029,07
Anonang Menor,1099,002,01,029,07
Baggoc,775,003,01,029,07
Callaguip,942,004,01,029,07
Caparacadan,335,005,01,029,07
Fuerte,2675,006,01,029,07
Manangat,978,007,01,029,07
Naguilian,1238,008,01,029,07
Nansuagao,863,009,01,029,07
Pandan,1229,010,01,029,07
Pantay-Quitiquit,432,011,01,029,07
Don Dimas Querubin ,1155,012,01,029,07
Puro,1106,013,01,029,07
Pantay Tamurong,1914,014,01,029,07
Villamar,1771,015,01,029,07
Don Alejandro Quirolgico ,1163,016,01,029,07
Don Lorenzo Querubin ,941,017,01,029,07
Aluling,1409,001,01,029,08
Comillas North,2333,002,01,029,08
Comillas South,2154,003,01,029,08
Concepcion ,2041,004,01,029,08
Dinwede East,739,005,01,029,08
Dinwede West,827,006,01,029,08
Libang,1044,007,01,029,08
Pilipil,493,010,01,029,08
Remedios,1141,013,01,029,08
Rosario ,2344,014,01,029,08
San Juan,2148,015,01,029,08
San Luis,918,016,01,029,08
Malaya,1858,017,01,029,08
Abaya,281,001,01,029,09
Baracbac,314,002,01,029,09
Bidbiday,815,003,01,029,09
Bitong,198,004,01,029,09
Borobor,308,005,01,029,09
Calimugtong,471,006,01,029,09
Calongbuyan,530,007,01,029,09
Calumbaya,265,008,01,029,09
Daldagan,446,009,01,029,09
Kilang,215,010,01,029,09
Legaspi,338,011,01,029,09
Mabayag,323,012,01,029,09
Matanubong,156,013,01,029,09
Mckinley,518,014,01,029,09
